sample_id,split,recalculated_score,risk_score,risk_percentile,diff
b1bf980a952e22ca1439,train,0.6091197144408445,0.60912,56.6,2.855591555439574e-07
7fb3e7d94186b5f00c7d,train,0.27132940481402895,0.271329,2.3,4.048140289647506e-07
a1d948146796c3c7e104,train,0.4840605817246682,0.484061,9.8,4.1827533181493237e-07
19fcf88f9a707726638f,validation,0.3582621048590306,0.358262,3.8,1.0485903056967061e-07
ba552120c01accb71dfe,train,0.5356626400542556,0.535663,55.8,3.599457444325438e-07
ea64f3bb568bd572f0bb,train,0.6091197144408445,0.60912,56.4,2.855591555439574e-07
7949075e2d9526201a7b,train,0.5356626400542556,0.535663,53.6,3.599457444325438e-07
49c4c37ceae3bf0d2138,train,0.6091197144408445,0.60912,56.4,2.855591555439574e-07
f7d9f9549093b804ea2d,train,0.6091197144408445,0.60912,56.8,2.855591555439574e-07
78d4725b472adffa0ccd,train,0.5104670637431821,0.510467,16.0,6.374318206603391e-08
6360946bbca44a3dab73,train,0.8635906126770599,0.863591,99.6,3.873229400541689e-07
50062a1933290a7b4f73,train,0.6091197144408445,0.60912,52.7,2.855591555439574e-07
0472d2eee97ff1ffbe94,train,0.5451936032277604,0.545194,93.2,3.9677223950818075e-07
21fd8d22eab2a2c4ae63,train,0.6091197144408445,0.60912,56.8,2.855591555439574e-07
23b0ac6b871ccfa96c05,train,0.6077695247861009,0.60777,53.2,4.752138991204191e-07
ba4e49270c37deba5d47,train,0.6077695247861009,0.60777,53.1,4.752138991204191e-07
ea1a4681852ff6202d62,validation,0.5356626400542556,0.535663,54.7,3.599457444325438e-07
b642716e9f284a032f44,train,0.725066201570482,0.725066,97.1,2.015704819724462e-07
448329fe7c4d0aa962e7,train,0.5356626400542556,0.535663,56.0,3.599457444325438e-07
6b1fecf163983c216a98,train,0.5356626400542556,0.535663,55.8,3.599457444325438e-07
dce21b17c9513c735db7,validation,0.6077695247861009,0.60777,56.6,4.752138991204191e-07
ccebd0593e0cf3f49ffb,train,0.6077695247861009,0.60777,53.2,4.752138991204191e-07
6b47adc3ae3e0f29e5e8,validation,0.5356626400542556,0.535663,54.7,3.599457444325438e-07
31cb1913c2aad272dded,train,0.6091197144408445,0.60912,56.8,2.855591555439574e-07
9b9f3ed8268acf440d7e,train,0.6091197144408445,0.60912,55.5,2.855591555439574e-07
71a2a5d46e072109ff41,train,0.6054677136143556,0.605468,59.9,2.863856444212942e-07
dca8d1632ff4846e2b18,validation,0.5699587420500539,0.569959,92.4,2.5794994606975763e-07
3d913056592da8259130,validation,0.5685998724775315,0.5686,21.6,1.2752246847380633e-07
2414e883e48ec6a27600,train,0.5356626400542556,0.535663,54.3,3.599457444325438e-07
2f0700e096e3a194c723,train,0.6091197144408445,0.60912,55.5,2.855591555439574e-07
c44e29cfc38d515b104d,train,0.5356626400542556,0.535663,56.9,3.599457444325438e-07
2d444fc6f24311e686e4,validation,0.5356626400542556,0.535663,54.7,3.599457444325438e-07
5664d916d03bd09a9330,train,0.6054677136143556,0.605468,55.3,2.863856444212942e-07
33e03a504b2962a28d18,train,0.5356626400542556,0.535663,53.7,3.599457444325438e-07
6bb2932727f5707e7557,train,0.5356626400542556,0.535663,55.8,3.599457444325438e-07
b453a195b70e9d2c3f55,train,0.358467163294411,0.358467,6.9,1.6329441099305342e-07
03ce8488bd75ee6ea411,train,0.5218472611544969,0.521847,18.1,2.6115449691666015e-07
f2590c214031d62478de,train,0.5251954534920849,0.525195,9.8,4.5349208488421056e-07
c6fe6bc414c503e3bd63,train,0.41422364700354825,0.414224,8.5,3.529964517356987e-07
577307f3307ec523a6e9,train,0.4194112448973935,0.419411,9.4,2.4489739353095175e-07
da19babe38eb7ce35891,train,0.34246657547162906,0.342467,9.4,4.2452837095696694e-07
8d95b93d6acec3c63573,train,0.4256271866143814,0.425627,7.1,1.8661438144773612e-07
e73c1f47dcf41a07cfb1,train,0.6091197144408445,0.60912,56.8,2.855591555439574e-07
f20ee73ef52ae3490870,train,0.6054677136143556,0.605468,55.3,2.863856444212942e-07
0ed82189dc2406ed4ea5,train,0.6077695247861009,0.60777,55.6,4.752138991204191e-07
90c64178bd08c3fb7f32,train,0.5356626400542556,0.535663,56.7,3.599457444325438e-07
e22938cb66b7484ed531,validation,0.6091197144408445,0.60912,55.0,2.855591555439574e-07
308f1d2776562bdfe238,train,0.5356626400542556,0.535663,53.7,3.599457444325438e-07
3358c7b898f2d2d0fa29,train,0.6054677136143556,0.605468,52.7,2.863856444212942e-07
329bcb133dca7a9621a2,train,0.5070377221356706,0.507038,5.9,2.778643294343297e-07
deacf3c9ae4ad4e8bf90,train,0.4254282431249646,0.425428,9.5,2.4312496460510147e-07
88483ccaca4165e75c04,train,0.3097979288762864,0.309798,3.9,7.112371364081937e-08
daad30bb0340c7dc74e9,train,0.11966809099464258,0.119668,0.9,9.099464258477408e-08
b63a3453585444062fc9,train,0.4636395856102909,0.46364,6.1,4.143897091024584e-07
