standard_code,standard_normalized,r_category,r_category_name,basis
19100269 D02 VII F,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02 VIII A,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02 VIII B,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D02 VIIIB,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D03    I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D03  VII,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D03 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D03 II,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D03 II E,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D03 II F,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D04,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D05,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D06,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D06    V,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D06   II,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D06   IV,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D06   VI,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D06  III,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D06  VII,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D06 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D06 II,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D06 III,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D06 IV,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D06 V,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D06 VI,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
