unique_key,stage,split,quarter,method_or_comparison,metric,value,source_file,source_row,source_column,source_sha256
data_flow|all|all|Inspection原始行|n|样本排除流.csv|2,data_flow,all,all,Inspection原始行,n,1365781,结果/01_数据审计/样本排除流.csv,2,n,41ad639b115e106b8a4ebdbaae95f5d7d6d6b83c33c932ee22ce2be3141fc2a9
split_audit|test|2024Q3|all|n|时间切分审计.csv|7,split_audit,test,2024Q3,all,n,160,结果/01_数据审计/时间切分审计.csv,7,n,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2024Q4|all|candidate_total|时间切分审计.csv|8,split_audit,test,2024Q4,all,candidate_total,143,结果/01_数据审计/时间切分审计.csv,8,candidate_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2024Q4|all|immature_open_case|时间切分审计.csv|8,split_audit,test,2024Q4,all,immature_open_case,0,结果/01_数据审计/时间切分审计.csv,8,immature_open_case,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2024Q4|all|immature_other|时间切分审计.csv|8,split_audit,test,2024Q4,all,immature_other,0,结果/01_数据审计/时间切分审计.csv,8,immature_other,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2024Q4|all|mature_total|时间切分审计.csv|8,split_audit,test,2024Q4,all,mature_total,143,结果/01_数据审计/时间切分审计.csv,8,mature_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2024Q4|all|mature_rate|时间切分审计.csv|8,split_audit,test,2024Q4,all,mature_rate,1.0,结果/01_数据审计/时间切分审计.csv,8,mature_rate,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2024Q4|all|n|时间切分审计.csv|8,split_audit,test,2024Q4,all,n,143,结果/01_数据审计/时间切分审计.csv,8,n,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q1|all|candidate_total|时间切分审计.csv|9,split_audit,test,2025Q1,all,candidate_total,179,结果/01_数据审计/时间切分审计.csv,9,candidate_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q1|all|immature_open_case|时间切分审计.csv|9,split_audit,test,2025Q1,all,immature_open_case,0,结果/01_数据审计/时间切分审计.csv,9,immature_open_case,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q1|all|immature_other|时间切分审计.csv|9,split_audit,test,2025Q1,all,immature_other,0,结果/01_数据审计/时间切分审计.csv,9,immature_other,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q1|all|mature_total|时间切分审计.csv|9,split_audit,test,2025Q1,all,mature_total,179,结果/01_数据审计/时间切分审计.csv,9,mature_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q1|all|mature_rate|时间切分审计.csv|9,split_audit,test,2025Q1,all,mature_rate,1.0,结果/01_数据审计/时间切分审计.csv,9,mature_rate,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q1|all|n|时间切分审计.csv|9,split_audit,test,2025Q1,all,n,179,结果/01_数据审计/时间切分审计.csv,9,n,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q2|all|candidate_total|时间切分审计.csv|10,split_audit,test,2025Q2,all,candidate_total,143,结果/01_数据审计/时间切分审计.csv,10,candidate_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q2|all|immature_open_case|时间切分审计.csv|10,split_audit,test,2025Q2,all,immature_open_case,0,结果/01_数据审计/时间切分审计.csv,10,immature_open_case,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q2|all|immature_other|时间切分审计.csv|10,split_audit,test,2025Q2,all,immature_other,0,结果/01_数据审计/时间切分审计.csv,10,immature_other,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q2|all|mature_total|时间切分审计.csv|10,split_audit,test,2025Q2,all,mature_total,143,结果/01_数据审计/时间切分审计.csv,10,mature_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q2|all|mature_rate|时间切分审计.csv|10,split_audit,test,2025Q2,all,mature_rate,1.0,结果/01_数据审计/时间切分审计.csv,10,mature_rate,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q2|all|n|时间切分审计.csv|10,split_audit,test,2025Q2,all,n,143,结果/01_数据审计/时间切分审计.csv,10,n,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q3|all|candidate_total|时间切分审计.csv|11,split_audit,test,2025Q3,all,candidate_total,139,结果/01_数据审计/时间切分审计.csv,11,candidate_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
